"Direcciones_c";"Direcciones_prueba";"Ciudad";"localizaciones.lat";"localizaciones.long"
"CR 46 115 7";"CR 46 115 7 ";"MEDELLIN";6,30164;-75,54872
"CL 43 B 120 48";"CL 43 B 120 48 ";"MEDELLIN";6,25847;-75,62724
"CL 52 71 60";"CL 52 71 60 ";"MEDELLIN";6,26067;-75,58662
"CR 92 40 43";"CR 92 40 43 ";"MEDELLIN";6,25235;-75,61045
"CL 51 74 53";"CL 51 74 53 CONJUNTO RESIDENCIAL AIRES DE VALENCIA";"MEDELLIN";6,24589;-75,57457
"CL 34 C 89 28";"CL 34 C 89 28 ";"MEDELLIN";6,24439;-75,61743
"CL 68 B 87 27";"CL 68 B 87 27 ";"MEDELLIN";6,279002;-75,59466
"CL 34 C 89 38";"CL 34 C 89 38 ";"MEDELLIN";6,244415;-75,61743
"CR 76 53 90";"CR 76 53 90 FUENTE DE COLORES";"MEDELLIN";6,26407;-75,58924
"AV 74 B 39 21";"AV 74 B 39 21 ";"MEDELLIN";6,245474;-75,59664
"CL 63 80 A 40";"CL 63 80 A 40 CRUCERO DE LA 80";"MEDELLIN";6,273493;-75,59391
"CR 76 A 53 215";"CR 76 A 53 215 PLAZA DE COLORES";"MEDELLIN";6,26563;-75,58952
"CL 51 74 53";"CL 51 74 53 ";"MEDELLIN";6,267179;-75,63046
"CR 76 53 200";"CR 76 53 200 CONJUNTO RESIDENCIAL CERRO NORTE";"MEDELLIN";6,26508;-75,58862
"CL 49 E 83 A 196";"CL 49 E 83 A 196 ";"MEDELLIN";6,26403;-75,60283
"CR 97 47 A 112";"CR 97 47 A 112 ";"MEDELLIN";6,257584;-75,61263
"CL 37 B 81 A 13";"CL 37 B 81 A 13 ED CACIQUE TONE";"MEDELLIN";6,244915;-75,60346
"CL 37 B 81 A 13";"CL 37 B 81 A 13 EDIFICIO CACIQUE TONE";"MEDELLIN";6,244915;-75,60346
"CL 52 71 60";"CL 52 71 60 URB PORTOVELHO DE LOS COLORES";"MEDELLIN";6,264689;-75,59497
"CR 76 53 89";"CR 76 53 89 PARQUE DE LOS COLORES";"MEDELLIN";6,26483;-75,58989
"CR 76 53 90";"CR 76 53 90 FUENTE DE COLORES PH";"MEDELLIN";6,26407;-75,58924
"CR 81 40 50";"CR 81 40 50 ";"MEDELLIN";6,24753;-75,60236
"CR 81 34 A 17";"CR 81 34 A 17 ";"MEDELLIN";6,24164;-75,60297
"CR 74 53 55";"CR 74 53 55 CONJUNTO INMOBILIARIO NUEVO MUNDO PH";"MEDELLIN";6,26354;-75,58847
"CL 57 68 C 65";"CL 57 68 C 65 UNIDAD CERRADA PEÑA VERDE";"BELLO";6,342283;-75,57407
"CL 46 82 29";"CL 46 82 29 EDIFICIO PRIMAVERA DE LA FLORESTA PH";"MEDELLIN";6,25623;-75,60044
"CR 74 48 37";"CR 74 48 37 LC 259 260";"MEDELLIN";6,25716;-75,59193
"CQ 73 A 38 73";"CQ 73 A 38 73 ";"MEDELLIN";6,242873;-75,59543
"CR 76 53 89";"CR 76 53 89 ";"MEDELLIN";6,26483;-75,58989
"CR 78 B 52 14";"CR 78 B 52 14 URB RENACER";"MEDELLIN";6,26463;-75,5944
"CL 54 78 A 52";"CL 54 78 A 52 COLORES DEL SOL";"MEDELLIN";6,26842;-75,59399
"CL 64 EE 94 B 42";"CL 64 EE 94 B 42 ";"MEDELLIN";6,28229;-75,60439
"CL 30 A 82 A 09";"CL 30 A 82 A 09 ";"MEDELLIN";6,231843;-75,60517
"CL 30 A 82 A 03";"CL 30 A 82 A 03 ";"MEDELLIN";6,23179;-75,60517
"CR 76 A 53 35";"CR 76 A 53 35 CONJUNTO DE USO MIXTO JARDIN DE COLORES";"MEDELLIN";6,26476;-75,59008
"CR 76 A 53 35";"CR 76 A 53 35 ";"MEDELLIN";6,26476;-75,59008
"CR 76 53 215";"CR 76 53 215 URBANIZACION LOS COLORES";"MEDELLIN";6,26511;-75,58876
"CL 9 B SUR 79 A 221";"CL 9 B SUR 79 A 221 URBANIZACION RODEO VERDE";"MEDELLIN";6,202258;-75,59928
"CL 9 SUR 32 310";"CL 9 SUR 32 310 ";"MEDELLIN";6,19225;-75,56981
"CR 72 B 82 20";"CR 72 B 82 20 ";"MEDELLIN";6,282473;-75,57788
"CR 76 53 215";"CR 76 53 215 URBANIZACION LOS COLORES ETAPA III";"MEDELLIN";6,26511;-75,58876
"CR 76 53 89";"CR 76 53 89 PARQUE DE COLORES";"MEDELLIN";6,26483;-75,58989
"CR 70 26 A 33";"CR 70 26 A 33 UNIDAD RESIDENCIAL GAVIOTAS";"MEDELLIN";6,228633;-75,59139
"CL 76 80 205";"CL 76 80 205 CONJUNTO RESIDENCIAL TORRES DE HUNGRIA PH";"MEDELLIN";6,277230003;-75,59154
"CR 93 50 A 91";"CR 93 50 A 91 UNIDAD RESIDENCIAL CALASANZ AZUL PH";"MEDELLIN";6,269128;-75,60422
"CR 75 DA 2 B SUR 320";"CR 75 DA 2 B SUR 320 CONJUNTO RESIDENCIAL LOS CABOS PH";"MEDELLIN";6,20551;-75,59931
"CR 76 A 53 215";"CR 76 A 53 215 PLAZA DE COLORES";"MEDELLIN";6,265629994;-75,58951996
"CL 34 C 89 36";"CL 34 C 89 36 ";"MEDELLIN";6,24443;-75,61745
"CR 100 A 47 E 20";"CR 100 A 47 E 20 ";"MEDELLIN";6,25923;-75,61523
"CR 50 27 B 151";"CR 50 27 B 151 ";"BELLO";6,317423;-75,5571
"CR 50 27 A 151";"CR 50 27 A 151 ";"BELLO";6,317423;-75,5571
"CL 58 57 79";"CL 58 57 79 ";"BELLO";6,340638;-75,56412
"CR 50 27 B 151";"CR 50 27 B 151 EDIFICIO LILIAN VILLA DALIA";"BELLO";6,317423;-75,5571
"CR 89 35 51";"CR 89 35 51 ";"MEDELLIN";6,24542;-75,61324
"CL 58 57 75";"CL 58 57 75 ";"BELLO";6,340616;-75,5641
"CR 89 44 B 113";"CR 89 44 B 113 ";"MEDELLIN";6,253810002;-75,60539
