"Direcciones_c";"Nombre_del_Lugar";"Total_de_apartamentos";"Centro_de_Costos";"Ciudad";"Valor.min";"Valor.max";"Valor.prom";"Valor.promad";"Latitud";"Longitud"
"CL 29 C 35 130 ";" CONJUNTO RESIDENCIAL TERRAZAS DE SAN DIEGO";1;"Poblado";"MEDELLIN";1203858;1203858;1203858;0;6,23349000000007;-75,56834
"CL 37 B SUR 27 D 44 ";" LOMA DE LAS BRUJAS PH";1;"Envigado";"ENVIGADO";1727275;1727275;1727275;0;6,16262175301326;-75,5769043290916
"CL 40 81 A 44 ";"";1;"Laureles";"MEDELLIN";2700000;2700000;2700000;0;6,24674181773389;-75,6034825426273
"CL 43 SUR 59 75 ";" GUAYACANES DE PRADO";1;"San Antonio Pr.";"MEDELLIN";755069;755069;755069;0;6,18157633736018;-75,64045003968
"CL 49 F 87 125 ";" URBANIZACION DIA DE CAMPO PH";1;"Calasanz";"MEDELLIN";1267440;1267440;1267440;0;6,26369635588022;-75,605841165304
"CL 65 B 94 B 64 MULTIFAMILIAR VILLA ";" VILLA CAMPIÑA PH ETAPA 4";1;"Colores";"MEDELLIN";724092;724092;724092;0;6,28445998126848;-75,6026600187657
"CL 70 SUR 43 A 15 ";" CONJUNTO RESIDENCIAL CANTOLUNA";1;"Sabaneta";"SABANETA";1631271;1631271;1631271;0;6,15007604247056;-75,6145574015868
"CL 73 A 48 A 20";"";1;"Centro";"MEDELLIN";738298;738298;738298;0;6,2690500199185;-75,5579099597213
"CL 76 80 205 ";" CONJUNTO RESIDENCIAL TORRES DE HUNGRIA PH";1;"Colores";"MEDELLIN";1056200;1056200;1056200;180000;6,22246000000007;-75,60318
"CR 27 36 SUR 159 ";" TORRE 1 CONJUNTO RESIDENCIAL BALTICO PH";1;"Envigado";"ENVIGADO";1852661;1852661;1852661;294900;6,16391518936987;-75,5695795475836
"CR 44 26 71 ";" CONJUNTO RESIDENCIAL MADERA ESENCIAL";1;"Bello";"BELLO";1002588;1002588;1002588;133315;6,20542000000006;-75,56718
"CR 52 D 75 AB SUR 80 ";" CONJUNTO RESIDENCIAL PARANA PH";1;"La estrella";"LA ESTRELLA";3219614;3219614;3219614;0;6,15852965174128;-75,628354724206
"CR 53 B 13 A SUR 65 ";" URBANIZACION ENTRE COLINAS ETAPA II";1;"Itagui";"ITAGUI";1151517;1151517;1151517;0;6,19561566034687;-75,5939781932469
"CR 61 33 65 ";" CONJUNTO RESIDENCIAL PACIFICA";1;"Itagui";"ITAGUI";1400000;1400000;1400000;0;6,20542000000006;-75,56718
"CR 62 A 74 SUR 164 ";" CONJUNTO RESIDENCIAL TUKANA PH";1;"La estrella";"LA ESTRELLA";1320250;1320250;1320250;236400;6,16321010952434;-75,6439703469242
"CR 68 70 SUR 50 ";" PRADO VERDE PH";1;"San Antonio Pr.";"MEDELLIN";779790;779790;779790;0;6,16793;-75,64898
"CR 75 61 85 ";" URBANIZACION ORANGE PH";2;"Colores";"MEDELLIN";1848350;1893777;1871063,5;0;6,2687798432183;-75,5889144339933
"CR 75 DA 2 B SUR 320 ";" LOS CABOS PH";1;"Laureles";"MEDELLIN";1800000;1800000;1800000;279413;6,20550999706867;-75,5993100235235
"CR 77 60 70 ";" CONJUNTO DE USO MIXTO CITRINO PROPIEDAD HORIZONTAL";1;"Colores";"MEDELLIN";1700000;1700000;1700000;0;6,24589000000003;-75,5745699999999
"CR 81 C 49 F 50 ";" EDIFICIO BELOHORIZONTE PH";1;"Calasanz";"MEDELLIN";1300000;1300000;1300000;135300;6,26388002013037;-75,5998000295832
"CR 82 9 A SUR 28 ";" CONJUNTO RESIDENCIAL ATAVANZA ETAPAS I Y II PH";1;"Laureles";"MEDELLIN";1200000;1200000;1200000;0;6,20373001611034;-75,6053100412736
"CR 84 A 37 28 ";"";1;"Laureles";"MEDELLIN";2500000;2500000;2500000;0;6,24513296726324;-75,6068360561366
"TV 38 AA 57 110 ";" CONJUNTO RESIDENCIAL PUERTO PARAISO PH";1;"Bello";"BELLO";1200000;1200000;1200000;0;6,34253000000007;-75,56852
