"Direcciones_c";"Nombre_del_Lugar";"Total_de_apartamentos";"Centro_de_Costos";"Ciudad";"Valor.min";"Valor.max";"Valor.prom";"Valor.promad";"Latitud";"Longitud"
"AV 17 DG 57 31 ";" ALAMEDA DEL NORTE";1;"Bello";"BELLO";2373247;2373247;2373247;0;6,34034000000003;-75,55916
"AV 23 52 50 ";" PLAZA NAVARRA PH";1;"Bello";"BELLO";866084;866084;866084;0;6,34662000000003;-75,5321499999999
"AV 25 DG 57 ";" PARCELACION DAKOTA 2 PH ETAPAS 1 2 3";1;"Bello";"BELLO";4500000;4500000;4500000;0;6,34034000000003;-75,55916
"AV 26 DG 52 200 ";" CONJUNTO RESIDENCIAL MIXTO FLORIDA NORTEAMERICA PH, FLORIDA NORTEAMERICA PH";5;"Bello";"BELLO";1200000;1700000;1430000;0;6,31883000000005;-75,56001
"AV 31 DG 66 29 ";" CONJUNTO RESIDENCIAL PH";1;"Bello";"BELLO";9e+05;9e+05;9e+05;125250;6,20542000000006;-75,56718
"AV 32 49 A 135 ";" CEIBA DEL NORTE PH";1;"Bello";"BELLO";1200000;1200000;1200000;0;6,33903517138105;-75,5391511108975
"AV 32 DD 49 A 135 ";" CEIBA DEL NORTE PH";1;"Bello";"BELLO";1e+06;1e+06;1e+06;0;6,34034000000003;-75,55916
"AV 32 DG 49 A 135 ";" CEIBA DEL NORTE PH, CEIBA DEL NORTE";19;"Bello";"BELLO";9e+05;1700000;1181231,63157895;68162,3684210526;6,3386732722447;-75,5389959967058
"AV 33 51 101 ";" CONJUNTO DE USO MIXTO NORDICA PH";3;"Bello";"BELLO";929456;1700000;1228552;145100;6,34034000000003;-75,55916
"AV 33 DG 51 101 ";" CONJUNTO DE USO MIXTO NORDICA PH";29;"Bello";"BELLO";9e+05;1850000;1214577,51724138;37996,5517241379;6,3402620649396;-75,5409395950624
"AV 33 DG 57 78 ";" CONJUNTO RESIDENCIAL SAN FRANCISCO DOS";1;"Bello";"BELLO";950000;950000;950000;0;6,25535000000002;-75,62355
"AV 36 B DG 65 A 34 ";"";1;"Bello";"BELLO";650000;650000;650000;0;6,34707089598955;-75,5447424910291
"AV 37 78 47 ";" TORRE LAUREL";2;"Laureles";"MEDELLIN";3800000;4202320;4001160;0;6,24589000000003;-75,5745699999999
"AV 37 DG 45 54";"";1;"Bello";"BELLO";750000;750000;750000;0;6,33250262671324;-75,5419664191248
"AV 37 DG 55 26 ";" UNIDAD RESIDENCIAL LAURELES DE TERRANOVA";2;"Bello";"BELLO";1e+06;1200000;1100000;34800;6,34034000000003;-75,55916
"AV 38 67 17 ";" UNIDAD RESIDENCIAL ENTREVIENTOS VELETAS";1;"Bello";"BELLO";750000;750000;750000;0;6,34034000000003;-75,55916
"AV 38 DG 67 17 ";" UNIDAD RESIDENCIAL ENTREVIENTOS, UNIDAD ENTREVIENTOS";3;"Bello";"BELLO";820000;9e+05;853333,333333333;0;6,34034000000003;-75,55916
"AV 39 D 73 126";"";1;"Laureles";"MEDELLIN";3398283;3398283;3398283;0;6,24660132242182;-75,5944650426612
"AV 42 B DG 51 111 ";" LOS ARBOLES PH";3;"Bello";"BELLO";950000;1300000;1116666,66666667;0;6,3374327657566;-75,5497475590627
"AV 42 B DG 51 51 ";" LOS ARBOLES PH";11;"Bello";"BELLO";1e+06;1300000;1095454,54545455;17006;6,33739091626004;-75,5497475590627
"AV 43 DG 51 26 ";" LOS ARBOLES PH";1;"Bello";"BELLO";1320250;1320250;1320250;245271;6,34034000000003;-75,55916
"AV 43 DG 57 39  ";"";1;"Bello";"BELLO";8e+05;8e+05;8e+05;0;6,34063286994932;-75,5502134814329
"AV 47 63 52 NIQUIA ";" NIQUIA CAMACOL";1;"Bello";"BELLO";598947;598947;598947;0;6,34258904399418;-75,5547957075146
"AV 74 B 39 21 ";"";1;"Laureles";"MEDELLIN";2123435;2123435;2123435;0;6,24547431601047;-75,596636126511
"AV 74 B 39 B 166 ";" EDIFICIO ENTREPARQUES PH";1;"Laureles";"MEDELLIN";1800000;1800000;1800000;298900;6,23917101033446;-75,5927426295704
"CIR 2 68 102 ";"";1;"Laureles";"MEDELLIN";1600000;1600000;1600000;0;6,24589000000003;-75,5745699999999
"CIR 3 66 B 165 ";" EDIFICIO NANTES";4;"Laureles";"MEDELLIN";1087408;1350000;1205639,5;0;6,24468955775869;-75,5868877365648
"CIR 3 74 93 ";"";1;"Laureles";"MEDELLIN";1699142;1699142;1699142;0;6,24385103713635;-75,5858411373386
"CIR 3 CR 66 B 165 ";" EDIFICIO NANTES";1;"Laureles";"MEDELLIN";1250000;1250000;1250000;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 101";" LC 101";1;"Laureles";"MEDELLIN";868960;868960;868960;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 102";" LC 102";1;"Laureles";"MEDELLIN";2063780;2063780;2063780;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 103";" LC 103";1;"Laureles";"MEDELLIN";1520680;1520680;1520680;0;6,24589000000003;-75,5745699999999
"CIR 4 66 B 184 ";" EDIFICIO LA TORRE 1";1;"Laureles";"MEDELLIN";769765;769765;769765;0;6,24531627268904;-75,5864910450069
"CIR 4 66 B 84 ";" TORRE CASABEL";1;"Laureles";"MEDELLIN";1680000;1680000;1680000;0;6,24475841374101;-75,5858664236294
"CIR 4 72 4";"";1;"Laureles";"MEDELLIN";2521260;2521260;2521260;0;6,24480505066217;-75,5860048837895
"CIR 4 CR 66 B 184 ";" EDIFICIO LA TORRE 1";1;"Laureles";"MEDELLIN";920000;920000;920000;0;6,24531627268904;-75,5864910450069
"CIR 5 66 B 152 ";" TORRE SION PH";2;"Laureles";"MEDELLIN";1088251;1197077;1142664;0;6,24564385182196;-75,5858823410301
"CIR 73 A 34 A 60 ";" EDIFICIO NEBRASKA";2;"Laureles";"MEDELLIN";2584044;2700000;2642022;0;6,24179293323;-75,5965745403548
"CIR 73 A 34 A 60  ";" EDIFICIO NEBRASKA";1;"Laureles";"MEDELLIN";2540250;2540250;2540250;0;6,24179293323;-75,5965745403548
"CIR 73 A 38 20 ";" EDIFICIO URBANAL SANTA TERESITA PH";1;"Laureles";"MEDELLIN";2060875;2060875;2060875;375600;6,24381000000005;-75,6106599999999
"CIR 73 A 38 50 ";" VILLA LOGROÑO PH, VILLA DE LOGROÑO";2;"Laureles";"MEDELLIN";675435;1901160;1288297,5;0;6,24268551349635;-75,5954815344218
"CIR 73 TV 38 19 ";" EDIFICIO TORREVEDRA PH";1;"Laureles";"MEDELLIN";2032200;2032200;2032200;0;6,24243999190742;-75,5948599873087
"CIR 74 76 39 ";" EDIFICIO VILLANGELA PH";1;"Laureles";"MEDELLIN";761776;761776;761776;0;6,24405712183083;-75,5976265326341
"CIR 74 A 39 B 165 ";" EDIFICIO LAURELES DEL PARQUE";2;"Laureles";"MEDELLIN";2323640;2500000;2411820;0;6,24597502586114;-75,5942798094454
"CIR 74 TV 39 B 32 ";" EDIFICIO CAPRI N 1";1;"Laureles";"MEDELLIN";2133810;2133810;2133810;370000;6,24523336713288;-75,5949186466004
"CIR 76 A 53 35 ";" CONJUNTO DE USO MIXTO JARDIN DE COLORES";1;"Colores";"MEDELLIN";1574955;1574955;1574955;0;6,26612000000006;-75,59367
"CIR 76 CL 38 105 ";" EDIFICIO PRIMAVERA DE LAURELES 2";1;"Laureles";"MEDELLIN";1687539;1687539;1687539;0;6,24613961678131;-75,5975708342568
"CIR 76 TV 39 41 ";" QUINTAS DEL PARQUE PH";1;"Laureles";"MEDELLIN";1300000;1300000;1300000;0;6,24641368998569;-75,5972325262069
"CL 1 35 388 ";" CONJUNTO RESIDECIAL EL REFUGIO II";1;"Poblado";"MEDELLIN";3e+06;3e+06;3e+06;0;6,26467000000002;-75,60139
"CL 1 45 120 ";" CONJUNTO RESIDENCIAL CONDOMINIO LA VEGA";1;"Poblado";"MEDELLIN";2361051;2361051;2361051;0;6,2053999845895;-75,5760599652194
"CL 1 75 BA 192 ";" UNIDAD RESIDENCIAL KALAMARI 1 CUARTA ETAPA";1;"Laureles";"MEDELLIN";2275835;2275835;2275835;404000;6,24589000000003;-75,5745699999999
"CL 1 B 53 32";"";1;"Laureles";"MEDELLIN";1800000;1800000;1800000;0;6,20887998314988;-75,5861599909077
"Cl 1 SUR 37B 75 ";" URBANIZACION WE NEW HOME";1;"Poblado";"MEDELLIN";5300000;5300000;5300000;0;6,20293169999858;-75,5703920241342
"CL 1 SUR 75 DA 191 ";" URBANIZACION PLAZUELAS DEL RODEO";1;"Laureles";"MEDELLIN";1531490;1531490;1531490;0;6,21027140399284;-75,5963496361352
"CL 10 42 45 LC 511 ";" LC 511 ED LA PLAZA DEL POBLADO";1;"Poblado";"MEDELLIN";9e+05;9e+05;9e+05;149183;6,21039999938122;-75,5701300201798
