"Direcciones_c";"Nombre_del_Lugar";"Total_de_apartamentos";"Centro_de_Costos";"Ciudad";"Valor.min";"Valor.max";"Valor.prom";"Valor.promad";"Latitud";"Longitud"
"AV 23 52 50 ";" PLAZA NAVARRA PH";1;"Bello";"BELLO";866084;866084;866084;0;6,34662000000003;-75,5321499999999
"AV 25 DG 57 ";" PARCELACION DAKOTA 2 PH ETAPAS 1 2 3";1;"Bello";"BELLO";4500000;4500000;4500000;0;6,34034000000003;-75,55916
"AV 26 DG 52 200 ";" CONJUNTO RESIDENCIAL MIXTO FLORIDA NORTEAMERICA PH, FLORIDA NORTEAMERICA PH";6;"Bello";"BELLO";1200000;1700000;1408333,33333333;0;6,31883000000005;-75,56001
"AV 31 DG 66 29 ";" CONJUNTO RESIDENCIAL PH";1;"Bello";"BELLO";9e+05;9e+05;9e+05;125250;6,20542000000006;-75,56718
"AV 32 49 A 135 ";" CEIBA DEL NORTE PH";1;"Bello";"BELLO";1200000;1200000;1200000;0;6,33903517138105;-75,5391511108975
"AV 32 DD 49 A 135 ";" CEIBA DEL NORTE PH";1;"Bello";"BELLO";1e+06;1e+06;1e+06;0;6,34034000000003;-75,55916
"AV 32 DG 49 A 135 ";" CEIBA DEL NORTE PH, CEIBA DEL NORTE";19;"Bello";"BELLO";9e+05;1700000;1195389,47368421;68162,3684210526;6,3386732722447;-75,5389959967058
"AV 33 51 101 ";" CONJUNTO DE USO MIXTO NORDICA PH";4;"Bello";"BELLO";929456;1700000;1271414;108851;6,34034000000003;-75,55916
"AV 33 DG 51 101 ";" CONJUNTO DE USO MIXTO NORDICA PH";31;"Bello";"BELLO";9e+05;1850000;1222314,22580645;47425,8064516129;6,3402620649396;-75,5409395950624
"AV 33 DG 57 78 ";" CONJUNTO RESIDENCIAL SAN FRANCISCO DOS";1;"Bello";"BELLO";950000;950000;950000;0;6,25535000000002;-75,62355
"AV 36 B DG 65 A 34 ";"";1;"Bello";"BELLO";650000;650000;650000;0;6,34707089598955;-75,5447424910291
"AV 37 78 47 ";" TORRE LAUREL";1;"Laureles";"MEDELLIN";4224800;4224800;4224800;0;6,24589000000003;-75,5745699999999
"AV 37 DG 45 54";"";1;"Bello";"BELLO";750000;750000;750000;0;6,33250262671324;-75,5419664191248
"AV 37 DG 55 26 ";" UNIDAD RESIDENCIAL LAURELES DE TERRANOVA";2;"Bello";"BELLO";1e+06;1200000;1100000;34800;6,34034000000003;-75,55916
"AV 38 67 17 ";" UNIDAD RESIDENCIAL ENTREVIENTOS VELETAS";1;"Bello";"BELLO";750000;750000;750000;0;6,34034000000003;-75,55916
"AV 38 DG 67 17 ";" UNIDAD RESIDENCIAL ENTREVIENTOS, UNIDAD ENTREVIENTOS";3;"Bello";"BELLO";820000;9e+05;853333,333333333;0;6,34034000000003;-75,55916
"AV 39 D 73 126";"";1;"Laureles";"MEDELLIN";3398283;3398283;3398283;0;6,24660132242182;-75,5944650426612
