"address";"lat";"long"
"CR 27 AA 36 SUR 160  ENVIGADO , Colombia";6,15846977376368;-75,5740508376596
"CR 81 A 49 F 40  MEDELLIN , Colombia";6,26342999574888;-75,5982799714423
"CR 48 76 D SUR 34  SABANETA , Colombia";6,15241619873095;-75,6234032920391
"CR 82 B 33 B 20  MEDELLIN , Colombia";6,24084998678455;-75,6056200040531
"CR 78 A 34 A 69  MEDELLIN , Colombia";6,24150729842495;-75,5990414162092
"CL 53 55 A 67  ITAGUI , Colombia";6,17605612800095;-75,6074273432575
"CL 43 75 24  MEDELLIN , Colombia";6,24921001319271;-75,5949299762002
"CL 37 B SUR 27 21  ENVIGADO , Colombia";6,15936085049134;-75,5740446718472
"CR 43 A 32 39  MEDELLIN , Colombia";6,23333832266461;-75,5690240018579
"CL 39 52 95  BELLO , Colombia";6,32638194314238;-75,5713349283638
"CL 28 55 50  BELLO , Colombia";6,31745796075282;-75,5608909126153
"CR 59 27 B 540  BELLO , Colombia";6,3345175399711;-75,5652744583085
"CL 70 SUR 38 90  SABANETA , Colombia";6,14786853241761;-75,6133203117924
"CL 49 DD 86 35  MEDELLIN , Colombia";6,26242001832576;-75,6044499741888
"CR 81 40 64  MEDELLIN , Colombia";6,24767998058707;-75,6023499721672
"CL 53 B 78 12  MEDELLIN , Colombia";6,26743000758226;-75,5936199685529
"CR 27 D 27 SUR 123  ENVIGADO , Colombia";6,17290310769687;-75,5715663173035
"CL 26 43 51  BELLO , Colombia";6,31535652207476;-75,5610047184871
"CL 72 SUR 35 240  SABANETA , Colombia";6,14811763362163;-75,6153724183591
"AV 31 66 29  BELLO , Colombia";6,34527332799354;-75,5394213876517
"CL 57 B 34 11 MEDELLIN , Colombia";6,24767000612229;-75,5524199807795
"CL 78 C SUR 47 G 10  SABANETA , Colombia";6,15068566162927;-75,6254006403087
"CL 47 SUR 64 D 92  SAN ANTONIO DE PRADO , Colombia";6,17953910263465;-75,6367654097206
"CL 75 72 B 55  MEDELLIN , Colombia";6,27496999049325;-75,583550033897
"CR 77 60 45  MEDELLIN , Colombia";6,26977746101;-75,5912714455283
"CL 50 A 97 215  MEDELLIN , Colombia";6,29006904200611;-75,5594175100571
"CL 35 A SUR 47 14  ENVIGADO , Colombia";6,17412539562776;-75,5910588759182
"CL 18 43 G 90  MEDELLIN , Colombia";6,22113085138511;-75,5745357972452
"CR 49 A 100 CC SUR 79  LA ESTRELLA , Colombia";6,11902800173272;-75,6331025701747
"CL 32 F 78 97  MEDELLIN , Colombia";6,23824363234748;-75,5991689792287
"CL 37 SUR 27 90  ENVIGADO , Colombia";6,15973263249357;-75,5745444875892
"CR 37 46 F SUR 101  ENVIGADO , Colombia";6,15775187363229;-75,5888441993156
"CL 38 A 108 15  MEDELLIN , Colombia";6,25090589398452;-75,6208208678201
"CR 28 29 145  MEDELLIN , Colombia";6,24309684637546;-75,5497838688267
"CR 93 50 A 91  MEDELLIN , Colombia";6,26912831495182;-75,6042182022069
"CR 82 C 30 A 105  MEDELLIN , Colombia";6,23217999759697;-75,6054399607728
"CR 61 33 65  ITAGUI , Colombia";6,18023620957567;-75,6126037623199
"TV 38 AA 57 110  BELLO , Colombia";6,34034000000003;-75,55916
"CL 51 B 81 B 47  MEDELLIN , Colombia";6,26597000577765;-75,5983200369395
"CR 96 C 50 A 280  MEDELLIN , Colombia";6,28874504067411;-75,5593749068488
"CL 38 64 A 87  MEDELLIN , Colombia";6,24225203672835;-75,582565869712
"CL 12 AA SUR 55 D 30  ITAGUI , Colombia";6,19830683071854;-75,5946423285426
"CL 73 SUR 46 E 37  SABANETA , Colombia";6,15277047608378;-75,6195586428002
"CL 53 55 A 67  ITAGUI , Colombia";6,17605612800095;-75,6074273432575
"CR 24 F 40 SUR 67  ENVIGADO , Colombia";6,14992693354193;-75,579931953638
"CR 25 41 B SUR 37  ENVIGADO , Colombia";6,1533561894554;-75,5880647053899
"CR 43 32 39  MEDELLIN , Colombia";6,23333832266461;-75,5690240018579
"CR 83 A 27 A 60  MEDELLIN , Colombia";6,2294700025718;-75,605810021798
"CL 63 80 A 40  MEDELLIN , Colombia";6,27349279409935;-75,5939096899897
